index,start,end,text
199,622.76,624.96,следовательно мы знаем сколько
200,624.96,627.68,подратили сколько ледов пришло мы можем
201,627.68,629.68,висчит и среднюю стоимость веда за
202,629.68,631.92,конкретный период на конкретном байре
203,631.92,634.12,на конкретной воронки мы зняем среднюю
204,634.12,636.92,стоимость веда если это не сервисоплата
205,636.92,638.84,например агентские аккаунты которые
206,638.84,643.36,таблицы ведут это не как можно можно
207,643.36,645.74,можно все сделать то есть она будет
208,645.74,649.0,учитывать можно потом подскажем если
209,649.0,657.08,"честно, я не знаю, то есть у нас есть ребята, которые так работают, вот, но как именно решили вот это все,"
210,657.08,669.24,"это уже мои коллеги помогут, вот, и мы можем вот это все сделать. Вот, у нас есть информация, сколько"
211,669.24,676.2,"мы потратили средним налит, и у нас есть информация за какие лиды, допустим, по cpl, мы получили оплату."
212,676.2,686.32,"все рамка как это определяет, у нас есть, допустим, статус, у нас все статусы, которые были,"
213,686.32,691.72,"когда раз все рамки, они попадают в вот этот список большой, и потом мы можем либо их там"
214,691.72,699.48,"использовать для редактирования лида, либо еще какие-то цели, либо есть у нас статус тайп, и мы можем"
215,699.48,705.32,"проставить не валиды, полностью сюда, кто-то наверное, книжку еще добавил, допустим, добавляем,"
216,705.32,714.92,"в ронг, в ронг хинфо, в ронг намбер, вот это все мы берем, добавляем, и все нас есть рамка, теперь лиды,"
217,714.92,726.84,"которые, лиды, которые не входят в этот список, она считает их автоматически валидными, то есть те,"
218,726.84,735.44,"которые, за которые мы получили деньги, перескочу в компейн, настройки компейна, и мы можем"
219,735.44,742.08,"отредактировать сколько денежек мы получили на том и на новом компании, то есть мы берем, допустим,"
220,742.08,751.0,"cpl, статус, мы получили, и плюс мы можем играться и выстраивать выпаты разные для байров, то есть"
221,751.0,759.12,"мы берем какого-то байра, вот, и ему показываем, что мы продали этот лид не за 100, а продали за 80,"
222,759.12,765.8,"то есть байру мы можем не показывать полностью, цену продажи вот этого, по дефолту они увидят вот"
223,765.8,773.72,"это, если мы поставим вот сюда 80, то для них это будет цена, под чем вы как компания продали лид,"
224,773.72,782.68,"то есть можно так срезать какие-то там косты и так дальше, не знаю, многие делают, вот, плюс пока"
225,782.68,790.68,"еще тут нахожусь, сиранка может учитывать, например, Blacklist процент, это работает как? Это для"
226,790.68,802.16,"работы именно нас Ruea добавили, потому что появились такие сделки, тоже клиенты нас попросили, где Ruea"
227,802.16,810.4,"отливают, 50% украинцев идут, оплачиваются, 50 идут на замену, то есть чтобы выгодно было байру лить,"
228,810.4,818.64,"брокеры идут на вот такие условия, мы можем это выставить, 50%, потом заходить, например, вот сюда,"
229,818.64,826.32,"опять же, Start to Start, и вот у нас есть Blacklist Countries, это мы добавляем статусы, которые именно на"
230,826.32,831.84,"там брокере, где мы это включили, отличают за украинцами, эти статусы, и она сиранка будет"
231,831.84,842.16,"включить, вот, так, может, если у вас есть какие-то вопросы, вы меня, наверное, перебивайте, потому что"
232,842.16,851.88,"я вот заношу то, что мне интересно сказать, а могу перенести? Да, мне интересно, вот этим похвастаться,"
233,851.88,859.96,"что у нас есть, а возможно это и не нужно, вот, ну, грубо говоря, у нас банальные функции, распределение"
234,859.96,868.76,"трафика, засылки ледов, они есть, это, ну, я даже не знаю, стоит ли поменять сильно или нет, распределение"
235,868.76,877.88,"трафика у нас работает по трюмбасанным параметрам, как ротация быстро, можете показать? Ротация в каком плане?"
236,877.88,887.72,"Ну, типа подключать вот партнёров, чтобы трафика упилила. А, включать партнёров, смотрите, мы вам докус"
237,887.72,894.04,"скинем, там будет, в принципе, это описано, грубо говоря, именно партнёра как брокера или как"
238,894.04,907.48,"банк, который на вас будет отливать какой-то. Не понял ещё раз. Смотрите, ну, партнёры могут быть"
239,907.48,917.64,"с одной стороны и с второй. У тех, кого покупаете, или те, кому вы продаёте. Мы только начинаем как"
240,917.96,926.92,"банк, мы только продавать будем. Понял, хорошо. Тогда это всё делаем мы. То есть, ну, большинство действий делаем мы,"
241,926.92,933.08,"то есть, вы нам просто скидываете данные для интеграции в чат, мы делаем интеграцию, создаём"
242,933.08,940.52,"компейн, вот мы в кладочка компейн, он по-дефолту будет там пустой, вот и прокидываем тест, скидываем"
243,940.52,945.72,"почту, вы почту перетравляете брокеру, он просто вставляет тестовый статус, тестовый депозит, всё,"
244,945.96,955.0,"интеграция настроена. Средним это занимают 15 минут. Интегратор у нас отвечает в любое время,"
245,955.0,960.36,"когда он не спит, вот. Если там в час ночи он не спит, он скорее всего сделает интеграцию."
246,960.36,969.56,"Вы получаете пустой компейн, вам остается только распределить, настроить его, чтобы заходили нужные"
247,969.56,973.4,"вам лиды. То есть, распределение трафика у нас работает по трём основным параметрам,"
248,973.4,980.84,"это воронка, это страна, это сурс. Именно сурс, а не юзеру мы открываем, хотя ребята,"
249,980.84,986.52,"я на тестовый версии сижу, они уже вижу юзера как-то добавили, но я пока что не буду об этом"
250,986.52,993.8,"рассказывать, потому что это всё пока что чисто тестируется. Мы можем настроить, выбираем,"
251,993.8,998.04,"какие воронки будут дичьи, то есть оно должно быть совпадение букв в букву, в верхний,"
252,998.04,1003.8,"нижний регистр не учитывается. Раньше это было прям обязательный, обязательный параметр,"
253,1003.8,1008.84,сейчас мы можем вот так сделать и сюда будут заходить абсолютно все воронки.
254,1008.84,1016.2,"Вот и мы можем выбрать страну, то есть у нас есть возможность как страны выбрать,"
255,1016.2,1022.36,"у нас есть возможность вот тестовые ребята насоздавали, это группы стран уже заготовлены,"
256,1022.36,1030.76,"то есть они, можно уже выбрать прям список стран, которые там вы постоянно используете,"
257,1030.76,1040.84,"это делается все, амтрегруппу оттуда. И сурс это параметр которыми можно играться как угодно,"
258,1040.84,1045.64,"то есть если вы банк, вы можете просто прописывать какой именно сурс там будет, если вы"
259,1045.64,1055.96,"наетвар, то можете там подписывать название команды, которые у вас, у которых вы будете"
260,1055.96,1061.96,"покупать трафик, либо же именно баров можете делать, ну вот, так это уже можно играться как угодно."
261,1061.96,1071.64,"Daily Cup, это дневной Cup, сколько ледов будет, допустим, у нас вес это немножко,"
262,1071.64,1077.48,"мы можем играться с приоритетностью, как это работает, то есть у нас есть один и тот же трафик,"
263,1077.48,1086.28,"два компейна включенных, на одной дневной Cup у нас 50 будет, а на дневном 100, то в первую очередь"
264,1086.28,1093.6,"Сиремка старается распределить, зонт леды туда, где больше дневной Cup, вот сюда,"
265,1093.6,1099.96,"там где 100, у нас упадет сразу два леда подряд, а потом упадет лед там где дневной Cup 50,"
266,1100.92,1109.6,"и там и там у нас будет ровно залита 2% от всей Cup дневной, но мы можем вот этим играться и"
267,1109.6,1115.68,"подкрутить вес по дефолту это единичка, если мы ставим двоечку туда, где у нас упало два леда,"
268,1115.68,1122.76,"у нас зайдет 4 умножиться на 2, там где у нас было 50 ледов, зайдет 2 леда,"
269,1122.76,1129.84,"единичка умножилась на 2, получили 2, все просто, можно просто вот так подкручивать, это один из"
270,1129.84,1136.2,"вариантов, это такой чуть-чуть подкрутить, выставить перелив какой-то либо в сторону,"
271,1136.2,1142.08,"либо же мы можем брать и настраивать жесткую приоритетность, у нас есть campaign group,"
272,1142.08,1148.12,"эта штука не обязательно, но она как по мне очень удобна, то есть мы можем компании,"
273,1148.12,1153.36,"которые вот тут мы можем объединять группы в зависимости вот салета и по ГЛ,"
274,1153.36,1158.88,"допустим, либо по какому-то, либо там трафику, кто принимает, они тоже трафика, вы выставляете"
275,1158.88,1164.08,"приоритетность, уже тут можете выставить приоритетность более жесткую, по дефолту,"
276,1164.08,1169.36,"то тут значение будет везде ноль, это просто начальное значение, то есть если у нас везде ноль,"
277,1169.36,1173.84,"оно распределяется равномерно, так же как и если мы сюда его не добавляли,"
278,1173.84,1184.24,"уже 24 вест, тут вес тоже можно настроить, если мы там берем, выставляем тут побольше,"
279,1184.24,1191.48,"тут у нас три, ну допустим, четыре, все равно типа три, три, три и там один допустим,"
280,1191.48,1198.92,"то есть вот этот у нас компайн допустим платит больше всего, денег, значит сюда будут"
281,1198.92,1205.96,"заходить абсолютно все лиды, вот будут стараться сюда, если они отбились от этого брокера, они будут"
282,1205.96,1210.8,"брать и отправляться на вот эти три, потому что у них приоритетность равная и будут заполняться"
283,1210.8,1217.64,"уже так же, если бы не были добавлены сюда, и если они вот эти все три тоже отобьются по какой-либо"
284,1217.64,1224.28,"причине, они будут заходить сюда, вот на последние приоритетности, вот допустим, это у нас"
285,1224.28,1230.68,"компания по CPA будет, где у нас дубли, чисто которые вообще никуда не зашли, мы их отдаем кому-то по CPA,"
286,1230.68,1237.6,"но чтобы это прям классно, классно работало, мы можем выставить галочку на CPA-най-оффер, он"
287,1237.6,1244.36,"ли дубликет, для чего это нужно, то есть это означает, что сюда лид упадет только в том случае,"
288,1244.36,1252.16,"если он уже попытался куда-то либо зайти и он отобился, то есть он попытался уже кому-то"
289,1252.16,1256.72,"отправиться и забился, для чего это нужно, то есть мы вот этот штук изначально сделали и"
290,1256.72,1261.08,"с такой вот такой проблемы, что ребята вот именно так использовали, как я описал, что в конце"
291,1261.08,1271.24,"конечной итоге все уходи, в конечной итоге дубли шли по CPA, но у ребят была проблема то, что у них"
292,1271.24,1281.12,"эти компании заливались, а время еще есть и выходит, что те лиды, которые в теории могли бы"
293,1281.12,1290.32,"упасть в холд и завтра их бы отправили по CPA, то они сейчас уходили по CPA, поэтому мы сделали"
294,1290.32,1295.04,"такую штуку, то есть если вот эти все компании заливаются, они выключатся автоматически и"
295,1295.32,1304.04,"сюда заходить не будет, то есть можно вот так тоже настроить, что еще, наверное будет"
296,1304.04,1311.16,"интересный инжект, у нас инжект работает как, можно отправить ручками, то есть любой лид,"
297,1311.16,1315.92,"мы выбираем, допустим, у нас есть вот вкладочки, тоже они все настраиваются, по default,"
298,1315.92,1321.12,"в sandhold это лиды, которые правильно, которые в холде, то есть есть еще отдельно, можно посмотреть"
299,1321.12,1328.28,"не валиды, можно посмотреть валиды, а тут уже я перемешал все, когда презентация приводила, дубли ваши,"
300,1328.28,1334.96,"дубли брокеров, вот, FTC-шки понятно, дело импортированной лиды, можно загрузить все рамку табличку,"
301,1334.96,1342.2,"старой там вашей базой и она импортируется именно сюда, в этой укладке можно будет"
302,1342.2,1346.8,"посмотреть все импортированные люди и потом сделать с ними что угодно, то же самое, что и с"
303,1346.8,1353.52,"обычными людьми, например, отправить руками, то есть мы можем выбрать либо все рамку самарис,"
304,1353.52,1358.92,"определить либо на какой-то определенный компайн, можно выставить, передать,"
305,1358.92,1367.52,"прокликивание автологина, автологин мы прокликиваем, то есть, прокликиваем с реальным устройств,"
306,1368.24,1377.72,"сильно этим запариваемся, потому что мы сначала сделали антифрод, то есть, чтобы вычислять"
307,1377.72,1387.2,"автологин чужих серебок, вот, сделали довольно таки хорошо, что нашего мы сами потом не могли его"
308,1387.2,1392.52,"пробить, поэтому запарились на тем, чтобы все-таки было прокликивание с реальных устройств, то есть,"
309,1392.52,1398.4,"берутся у нас Android-тельпоны и с них идет прокликивание, передварительно на них натягивается"
310,1398.4,1406.52,"полностью отпечаток реальных юзеров, которые мы собрали большую базу юзеров на лендах,"
311,1406.52,1413.76,"вот, и мы на их натягиваем на устройство, там под название процессора расширения экрана,"
312,1413.76,1424.56,"и их же, именно телефон, из телефона это все прокликивается, то есть, мы делаем не только"
313,1424.56,1434.2,"просто переход, мы еще какое-то время находимся на странице брокера и там свайпаем вверх-вниз,"
314,1434.2,1439.88,"нажимаем на рандомные элементы, но имитируем какого-то очень плуткового пользователя,"
315,1439.88,1444.36,"который там посидит еще там, может минуту посидеть, может две посидеть на странице,"
316,1444.36,1449.36,"вот, а либо там ее скрутить, забить на нее ничего не класить, ну короче, потому что,"
317,1449.36,1457.16,"ну рано или поздно брокеры додумаются, то что можно трекать еще время нахождения пользователя,"
318,1457.16,1461.04,"что он делает там на странице и так дальше, сейчас они просто трекают там,"
319,1461.04,1468.76,"ипичники и так дальше, больше нетворки занимаются всяким анализом, именно на фрод брокеры не сильно"
320,1468.76,1476.24,"прям запариваются над этим всем, поэтому мы заранее постраховали, сделали это все заранее,"
321,1476.24,1480.42,"единственное, что для вам нужно для того, чтобы вас работал автологин, это вам нужно"
322,1480.42,1489.12,"купить прокси, вот, я прокси должны быть со сменой по ссылке, вот, потому что статически не очень"
323,1489.12,1497.6,"безопасно будет все-таки, именно смена по ссылке нужна, вот, и что и поразом, советуем именно"
324,1497.6,1505.16,"не мобильные, а резидентские, то есть мы вообще всем советуем астропрокси, но они довольно-таки уже"
325,1505.16,1512.84,"немножко зашкварены, то есть антифроды на многих, мы себе тоже это подключили,"
326,1512.84,1518.32,"хотя я не очень считаю, что это неправильная штука, но рынок просит, поэтому мы это сделали,"
327,1519.04,1526.12,"анализ, айпишника на чистоту, то есть понятное дело, когда-то резидентская про вся,"
328,1526.12,1533.8,"это айпиадрес, который еще минуту-то назад может быть у вас любого человека из вас, то есть"
329,1533.8,1541.64,"у вас динамический оператор, может быть этот адрес использоваться вами, а через какое-то время"
330,1541.64,1547.88,"вы там, как вы это призову жили, это я адрес дался кому-то на прокси ферму, и вот эти все"
331,1547.88,1557.92,"сфраут-скоры именно по пароксиам, они анализируют именно попадание парокси в какой-то странной"
332,1557.92,1562.72,"ситуации, айпишника в какой-то странной ситуации, то есть я через них свои проверял,"
333,1562.72,1571.2,"там, свой личный адрес домашний, у меня там фраут-скоро сто, что я пароксиам, вот, это не прям"
334,1571.2,1580.28,"надежно, на это же наверное все забивают хер, потому что оно нестабильно работает, мало кто это в"
335,1580.28,1588.12,"анализе прям использует, но это есть сейчас почти везде, на всех всяй рамках, типа и астер-прокси"
336,1588.12,1593.2,"там довольно часто так и будет пробиваться, как показываешь, что это там фраут-скоро сто,"
337,1593.2,1600.44,"красненькое все горит, вот, но в последнее время я не вижу, чтобы сильно придирались, когда это только"
338,1600.44,1608.8,"внедрили конкуренты, очень часто приходилось за клиентов вступаться, объяснять их там партнером,"
339,1608.8,1615.96,"с которыми они работают и обвиняют их в чертах, что это ненадежные источники информации, вот,"
340,1615.96,1623.24,"поэтому если есть возможность какие-то похожие резиденции, брокси на эти неастопрокси, ну будет"
341,1623.24,1631.28,"классно, когда если возьмете, там вроде у Владаэр что-то выпустилось, еще кто-то еще какие-то сервисы,"
342,1631.28,1636.56,"сейчас помню два каких-то, а, и один из вот этот темлит выпустил свой проксисервис,"
343,1636.56,1645.68,"вот, мы знаем вот есть проксисервис Empire-Proxy, такое не подходит, есть это миссия резиденские,"
344,1645.68,1652.6,"со сменой посылки, то можете тастить, ага, ок, резиденские со сменой посылки,"
345,1653.4,1658.28,"да, то есть мобильные не советую, потому что мобильные, если допустим мобильную проксюзять,"
346,1658.28,1664.52,"там понятно, и дело есть именно посылки, но там будет подсеть одинаковое, то есть первые там вот эти"
347,1664.52,1673.44,"три числа вай-пишки, они будут повторяться очень чаще, часто, и это паливо, вот, это паливо,"
348,1673.44,1679.88,"потом когда если вы залете там какие-то нюансеры еще-то еще, и это при анализе увидит, что у вас"
349,1679.88,1686.76,"подседей одинаковое, то скорее всего могут вас обвинить и будут в этом даже правы, то есть"
350,1686.76,1693.8,"подсеть, повторяться, ну, не сильно прям может, есть это реальный трафик, есть, конечно, операторы там"
351,1693.8,1700.92,"на рашке, теле 2, по-моему, где подседей довольно часто повторяется, это на большом количестве трафика,"
352,1700.92,1706.28,"ну вот, если там Италия какой-то зальете, подседей одинаковое, то понятно, и дело что-то,"
353,1707.24,1715.0,"плюс есть у нас импорт, а, импорт, это я уже сказал, табличку можно заверзеть, угол табличка,"
354,1715.0,1722.36,"это интеграция, можно ли трафик на угол табличку, если брокера сиренки нету,"
355,1722.36,1728.68,"пожалуйста, в угол табличку, если он там статус поменяет прозвона, статус даже быстрее"
356,1728.68,1741.4,"обновиться в сиренку нам чем с какой-то брокерской сиренки, вот, так, оправить позитов, ну, можно выбрать"
357,1741.4,1749.64,"юзеров, которые будут попадать депозиты в части или еще вот это, они будут находиться тут 24 часа,"
358,1749.64,1756.64,"вот, если 24 часа не делать какой-то либо действий, либо подтверждаете, либо отменяете, он автоматически"
359,1756.64,1768.72,"подтверждается, вот, прикольная штука, если льете ли форму, можно вот тут это все дело заполнять,"
360,1768.72,1776.44,"вот, то есть можно вообще изинирировать все автоматически, можно заполнять, почему это прикольно,"
361,1776.44,1783.2,"потому что вам не нужно выбирать и страну, и у вас номер телефона генерится, и эпичник"
362,1783.2,1790.28,"автоматический, номер телефона нам не нужен, номер мы сами впишем, опишники генерятся автоматически,"
363,1790.28,1801.44,"плюс почту мы можем тоже зенерировать сами по имени, там Вася, Вася, Вася, и генерируем Польшу,"
364,1801.44,1809.76,"а, тут работает немножко не так, тут не за счет имени все-таки генерятся, но у нас есть возможность"
365,1809.76,1815.6,"генерить за счет имени, но это уже по АПИ, вы когда нам лить по АПИ отправляете, вы вместо"
366,1815.6,1824.36,"мэйл вписываете значение авто, и оно генерит по имени фамилии, генерирует мэйл, то есть можно на"
367,1824.36,1832.92,"ландат, когда мэйл убрать вообще, серемка сама будет генерировать, то же самое с эпичником, то есть по"
368,1832.92,1842.04,"АПИ отправляете значение авто и по стране, которые вы указываете там, в Юкей допустим, оно берет и генерирует"
369,1842.04,1850.48,"эпичник, вот, но опять же, если там автологина потом еще отправится, этот эпичник все еще заменится на"
370,1850.48,1861.0,"эпичник Прокси, ну типа в любом случае оно сгенерит, вот, ну заполняйте, потом появляется компайн и"
371,1861.16,1869.16,"берете там, можете выбрать, куда это все отправить, это ручками можно создавать леды, а есть еще инжак,"
372,1869.16,1877.28,"можно создать автоматические правила для отправки именно трафиком, то есть секундочку,"
373,1877.28,1884.2,"вот, вот, вот, присушила, ладно, сейчас."
374,1894.64,1899.6,"Так, автоматические правила для отправки ледов, то есть мы можем создать правила,"
375,1899.6,1907.8,"где у нас будет, например, за ночной период браться трафик, сколда из-за дневной автоматически"
376,1907.8,1915.48,"отправляться с указанным диапазоном, вот, если будете пользоваться, попросите просто скинуть"
